dlassets.xboxlive.cn

36.248.43.140	(中国福建福州 联通)
112.48.200.53	(中国福建泉州 移动)
118.182.248.189	(中国甘肃兰州 电信)
120.233.117.26	(中国广东东莞 移动)
42.123.107.1	(中国贵州贵阳 电信)
58.42.59.70	(中国贵州贵阳 电信)
111.124.71.241	(中国贵州贵阳 电信)
111.124.75.238	(中国贵州贵阳 电信)
112.67.249.18	(中国海南海口 电信)
124.225.5.142	(中国海南海口 电信)
60.13.99.227	(中国海南海口 联通)
153.0.231.6	(中国海南海口 联通)
121.29.3.115	(中国河北石家庄 联通)
123.12.214.185	(中国河南济源 联通)
221.15.67.28	(中国河南洛阳 联通)
202.110.99.17	(中国河南平顶山 联通)
115.54.19.7	(中国河南新乡 联通)
36.99.200.5	(中国河南郑州 电信)
123.161.58.97	(中国河南郑州 电信)
183.204.94.6	(中国河南郑州 移动)
122.188.38.70	(中国湖北荆门 联通)
122.188.185.192	(中国湖北荆门 联通)
116.211.122.1	(中国湖北武汉 电信)
119.96.249.134	(中国湖北武汉 电信)
119.36.226.216	(中国湖北武汉 联通)
175.6.245.222	(中国湖南衡阳 电信)
58.20.136.6	(中国湖南岳阳 联通)
113.240.69.166	(中国湖南长沙 电信)
139.215.225.113	(中国吉林长春 联通)
139.215.228.59	(中国吉林长春 联通)
223.109.236.6	(中国江苏连云港 移动)
180.97.228.163	(中国江苏南通 电信)
218.91.221.49	(中国江苏南通 电信)
36.156.76.88	(中国江苏南通 移动)
58.218.89.6	(中国江苏徐州 电信)
49.71.77.75	(中国江苏扬州 电信)
182.106.169.246	(中国江西新余 电信)
123.184.53.154	(中国辽宁沈阳 电信)
218.60.21.6	(中国辽宁沈阳 联通)
120.201.42.1	(中国辽宁沈阳 移动)
116.172.74.152	(中国宁夏中卫 联通)
39.91.187.1	(中国山东济南 联通)
39.91.189.1	(中国山东济南 联通)
39.91.190.6	(中国山东济南 联通)
120.220.18.85	(中国山东聊城 移动)
27.221.71.164	(中国山东青岛 联通)
61.179.109.50	(中国山东烟台 联通)
39.91.132.42	(中国山东枣庄 联通)
120.220.82.102	(中国山东枣庄 移动)
112.240.63.3	(中国山东淄博 联通)
221.204.17.2	(中国山西太原 联通)
113.201.106.132	(中国陕西西安 联通)
112.46.36.1	(中国陕西西安 移动)
101.206.251.7	(中国四川成都 联通)
112.45.118.112	(中国四川成都 移动)
223.85.110.102	(中国四川成都 移动)
42.81.247.1	(中国天津 电信)
182.254.59.216	(中国天津 电信/联通/移动)
111.161.117.129	(中国天津 联通)
117.12.41.73	(中国天津 联通)
111.31.90.6	(中国天津 移动)
111.31.91.2	(中国天津 移动)
117.180.234.130	(中国西藏拉萨 移动)
23.202.35.91	(中国香港)
182.242.94.111	(中国云南昆明 电信)
182.247.254.97	(中国云南昆明 电信)
39.173.190.10	(中国浙江杭州 移动)
36.25.253.132	(中国浙江湖州 电信)
115.231.229.130	(中国浙江嘉兴 电信)
112.15.11.8	(中国浙江丽水 移动)
115.231.33.1	(中国浙江宁波 电信)
122.227.201.1	(中国浙江宁波 电信)
183.131.39.47	(中国浙江宁波 电信)
183.131.41.124	(中国浙江宁波 电信)
122.224.48.134	(中国浙江绍兴 电信)
