tlu.dl.delivery.mp.microsoft.com

223.247.114.85	(中国安徽芜湖 电信)
36.110.220.114	(中国北京 电信)
113.249.87.130	(中国重庆 电信)
27.148.142.208	(中国福建福州 电信)
117.27.251.128	(中国福建福州 电信)
125.77.181.192	(中国福建福州 电信)
117.24.10.58	(中国福建泉州 电信)
125.77.134.232	(中国福建泉州 电信)
118.182.250.4	(中国甘肃兰州 电信)
125.76.81.55	(中国甘肃兰州 电信)
116.31.102.53	(中国广东佛山 电信)
183.62.112.55	(中国广东深圳 电信)
171.105.187.68	(中国广西南宁 电信)
222.86.127.3	(中国贵州安顺 电信)
103.220.56.46	(中国贵州贵阳 电信)
113.125.197.95	(中国贵州贵阳 电信)
119.0.66.119	(中国贵州贵阳 电信)
124.225.190.130	(中国海南海口 电信)
124.239.244.223	(中国河北廊坊 电信)
106.116.131.134	(中国河北唐山 电信)
106.116.135.176	(中国河北唐山 电信)
1.193.210.6	(中国河南洛阳 电信)
106.46.26.89	(中国河南洛阳 电信)
36.99.183.84	(中国河南郑州 电信)
42.101.21.249	(中国黑龙江哈尔滨 电信)
119.96.253.2	(中国湖北武汉 电信)
27.22.110.24	(中国湖北襄阳 电信)
111.170.21.44	(中国湖北襄阳 电信)
219.139.163.18	(中国湖北宜昌 电信)
113.219.132.41	(中国湖南衡阳 电信)
124.232.233.178	(中国湖南长沙 电信)
58.216.30.197	(中国江苏常州 电信)
58.216.95.108	(中国江苏常州 电信)
218.91.226.161	(中国江苏南通 电信)
121.228.190.69	(中国江苏苏州 电信)
180.101.30.53	(中国江苏宿迁 电信)
58.222.16.164	(中国江苏泰州 电信)
218.92.144.254	(中国江苏盐城 电信)
49.71.77.96	(中国江苏扬州 电信)
58.220.43.85	(中国江苏扬州 电信)
58.220.65.26	(中国江苏扬州 电信)
58.220.72.137	(中国江苏扬州 电信)
61.147.106.54	(中国江苏扬州 电信)
121.233.192.1	(中国江苏扬州 电信)
180.97.176.24	(中国江苏扬州 电信)
220.177.176.24	(中国江西吉安 电信)
59.63.66.7	(中国江西景德镇 电信)
182.106.169.188	(中国江西新余 电信)
222.75.36.74	(中国宁夏银川 电信)
140.249.44.1	(中国山东青岛 电信)
140.249.153.82	(中国山东青岛 电信)
150.138.101.84	(中国山东青岛 电信)
182.40.45.81	(中国山东青岛 电信)
